Category,Criterion,Score,Scale,Comments
Clarity & Visibility,Navigation is clear and consistent across pages,,0–3,
Clarity & Visibility,Users can quickly understand the site's purpose,,0–3,
Clarity & Visibility,System status or progress indicators are present when needed,,0–3,
Consistency & Standards,Components are visually and behaviorally consistent,,0–3,
Consistency & Standards,Terminology aligns with user expectations,,0–3,
Consistency & Standards,Icons and controls are familiar,,0–3,
Feedback & Interaction,"Buttons and controls provide clear, immediate feedback",,0–3,
Feedback & Interaction,Form errors and confirmations are well communicated,,0–3,
Feedback & Interaction,Microinteractions enhance usability,,0–3,
Control & Flexibility,Users can undo or change actions easily,,0–3,
Control & Flexibility,Clear exit points are available,,0–3,
Control & Flexibility,Shortcuts and power user features are supported,,0–3,
Error Prevention & Recovery,Design prevents common user errors,,0–3,
Error Prevention & Recovery,Error messages are helpful and actionable,,0–3,
Error Prevention & Recovery,Form validation is user-friendly,,0–3,
Aesthetic & Purposeful Design,Visual hierarchy supports content understanding,,0–3,
Aesthetic & Purposeful Design,Design is free of clutter and unnecessary elements,,0–3,
Aesthetic & Purposeful Design,"Typography, spacing, and colors are harmonious",,0–3,
Accessibility & Inclusivity,Meets basic WCAG 2.1 standards,,0–3,
Accessibility & Inclusivity,Media includes alt text or transcripts,,0–3,
Accessibility & Inclusivity,Responsive and functional on all screen sizes,,0–3,
Motivation & Emotional Design,Visuals and content create emotional engagement,,0–3,
Motivation & Emotional Design,Calls-to-action are persuasive and well-placed,,0–3,
Motivation & Emotional Design,"Trust signals (e.g., testimonials) are present",,0–3,
Learnability & Efficiency,Navigation and actions are intuitive for new users,,0–3,
Learnability & Efficiency,Task flows are streamlined,,0–3,
Learnability & Efficiency,Frequent actions are easily repeatable,,0–3,
Relevance & Value,"Content is timely, relevant, and useful",,0–3,
Relevance & Value,Offerings are clearly articulated and benefit-driven,,0–3,
Relevance & Value,Site provides reasons for return visits,,0–3,
